subject,trial,stimword,stimcolor,respcolor,reaction_time
156772,1,Y,Y,Y,1389
156772,2,G,G,G,2043
156772,3,R,R,R,1389
156772,4,Y,Y,Y,1092
156772,5,G,G,G,1310
156772,6,R,R,R,920
156772,7,B,B,B,1529
156772,8,Y,Y,Y,936
156772,9,B,B,B,1467
156772,10,G,G,G,1045
156772,11,B,B,B,1123
156772,12,R,R,R,1061
156772,13,Y,Y,Y,1029
156772,14,R,R,R,1732
156772,15,Y,Y,Y,1560
156772,16,R,R,R,1279
156772,17,B,B,B,1435
156772,18,G,G,G,952
156772,19,B,B,B,1326
156772,20,G,G,G,1185
156772,21,R,R,R,999
156772,22,Y,Y,Y,1029
156772,23,G,G,G,1170
156772,24,Y,Y,Y,968
156772,25,G,G,G,936
156772,26,Y,Y,Y,936
156772,27,R,R,R,1435
156772,28,B,B,B,951
156772,29,G,G,G,905
156772,30,Y,Y,Y,733
156772,31,R,R,R,843
156772,32,Y,Y,Y,905
156772,33,B,B,B,858
156772,34,Y,Y,Y,857
156772,35,R,R,R,1014
156772,36,G,G,G,1420
156772,37,Y,Y,Y,764
156772,38,B,B,B,718
156772,39,R,R,R,1404
156772,40,G,G,G,718
156772,41,Y,Y,Y,639
156772,42,B,B,B,702
156772,43,Y,Y,Y,718
156772,44,R,R,R,998
156772,45,G,G,G,1264
156772,46,Y,B,B,1264
156772,47,G,R,R,1357
156772,48,R,Y,Y,1732
156772,49,G,B,B,1762
156772,50,R,Y,Y,1576
156772,51,Y,G,G,1966
156772,52,B,R,R,1669
156772,53,Y,B,B,1669
156772,54,G,R,R,1685
156772,55,R,G,G,1450
156772,56,G,B,B,1404
156772,57,R,Y,Y,1420
156772,58,G,R,R,2387
156772,59,Y,G,G,1763
156772,60,B,Y,Y,1622
156772,61,G,R,R,1326
156772,62,Y,G,Y,1591
156772,63,B,Y,Y,1716
156772,64,G,B,B,1841
156772,65,Y,G,G,1669
156772,66,G,R,R,1466
156772,67,Y,G,G,1467
156772,68,B,Y,Y,1544
156772,69,G,R,R,1420
156772,70,Y,B,B,1435
156772,71,G,R,Y,1981
156772,72,B,Y,B,1576
156772,73,G,R,R,1840
156772,74,B,G,G,1358
156772,75,G,B,B,1653
156772,76,B,Y,Y,1420
156772,77,R,G,G,1544
156772,78,G,B,B,1560
156772,79,B,G,G,1311
156772,80,Y,B,B,1450
156772,81,G,Y,Y,1872
156772,82,Y,G,G,1857
156772,83,G,R,R,1872
156772,84,R,B,B,1216
156772,85,Y,G,G,1217
156772,86,R,Y,Y,1435
156772,87,G,R,R,1342
156772,88,B,Y,Y,1435
156772,89,G,R,R,1357
156772,90,B,Y,Y,1358
156839,1,G,Y,G,5770
156839,2,R,G,G,1848
156839,3,B,R,R,2176
156839,4,G,B,G,888
156839,5,R,Y,B,1176
156839,6,B,R,B,768
156839,7,R,G,G,368
156839,8,Y,B,B,672
156839,9,R,G,G,247
156839,10,Y,R,B,200
156839,11,G,Y,B,464
156839,12,R,B,G,151
156839,13,G,Y,B,192
156839,14,Y,G,G,184
156839,15,R,Y,B,175
156839,16,Y,B,G,184
156839,17,R,Y,B,184
156839,18,Y,G,G,135
156839,19,G,B,B,208
156839,20,B,G,G,128
156839,21,Y,R,B,200
156839,22,B,Y,G,119
156839,23,Y,R,B,200
156839,24,B,Y,G,144
156839,25,R,B,B,208
156839,26,Y,G,B,1240
156839,27,R,Y,G,264
156839,28,Y,G,B,192
156839,29,R,B,G,160
156839,30,B,G,B,208
156839,31,G,B,G,144
156839,32,Y,R,B,264
156839,33,R,B,G,176
156839,34,G,R,B,200
156839,35,R,Y,G,160
156839,36,G,R,B,200
156839,37,Y,G,G,144
156839,38,B,Y,B,200
156839,39,Y,G,G,151
156839,40,R,Y,B,192
156839,41,Y,R,G,168
156839,42,G,B,B,168
156839,43,B,R,G,184
156839,44,Y,B,B,248
156839,45,B,G,G,496
156839,46,Y,Y,Y,2150
156839,47,G,G,G,1920
156839,48,Y,Y,G,1984
156839,49,B,B,B,1136
156839,50,Y,Y,Y,792
156839,51,R,R,G,696
156839,52,Y,Y,Y,712
156839,53,R,R,G,1848
156839,54,Y,Y,Y,504
156839,55,R,R,B,128
156839,56,G,G,G,848
156839,57,Y,Y,Y,488
156839,58,B,B,G,472
156839,59,G,G,Y,544
156839,60,Y,Y,G,464
156839,61,G,G,Y,464
156839,62,R,R,G,448
156839,63,G,G,G,432
156839,64,R,R,Y,432
156839,65,G,G,G,472
156839,66,Y,Y,Y,464
156839,67,B,B,G,1128
156839,68,Y,Y,G,376
156839,69,G,G,G,456
156839,70,R,R,G,472
156839,71,G,G,G,560
156839,72,B,B,Y,904
156839,73,Y,Y,G,680
156839,74,B,B,G,1904
156839,75,G,G,G,600
156839,76,Y,Y,G,552
156839,77,B,B,Y,592
156839,78,Y,Y,G,592
156839,79,B,B,Y,536
156839,80,Y,Y,G,472
156839,81,G,G,G,840
156839,82,Y,Y,Y,624
156839,83,B,B,G,624
156839,84,Y,Y,B,424
156839,85,R,R,B,504
156839,86,Y,Y,B,504
156839,87,R,R,B,360
156839,88,B,B,B,224
156839,89,Y,Y,G,320
156839,90,B,B,Y,360
156856,1,G,G,G,1014
156856,2,B,B,B,1716
156856,3,G,G,G,936
156856,4,Y,Y,Y,1108
156856,5,B,B,B,1591
156856,6,Y,Y,Y,858
156856,7,B,B,B,671
156856,8,Y,Y,Y,858
156856,9,B,B,B,671
156856,10,R,R,R,951
156856,11,B,B,B,1170
156856,12,G,G,G,1233
156856,13,B,B,B,1513
156856,14,R,R,R,1997
156856,15,G,G,G,1154
156856,16,R,R,R,1295
156856,17,B,B,B,1154
156856,18,R,R,R,796
156856,19,Y,Y,Y,764
156856,20,G,G,G,1155
156856,21,R,R,R,1357
156856,22,G,G,G,1232
156856,23,Y,Y,Y,734
156856,24,R,R,R,904
156856,25,B,B,B,1030
156856,26,R,R,R,826
156856,27,G,G,G,1482
156856,28,Y,Y,Y,656
156856,29,G,G,G,998
156856,30,R,R,R,1154
156856,31,B,B,B,734
156856,32,G,G,G,1279
156856,33,B,B,B,1123
156856,34,Y,Y,Y,562
156856,35,R,R,R,796
156856,36,G,G,G,702
156856,37,B,B,B,951
156856,38,Y,Y,Y,546
156856,39,R,R,R,1014
156856,40,B,B,B,1030
156856,41,Y,Y,Y,608
156856,42,B,B,B,905
156856,43,R,R,R,639
156856,44,G,G,G,671
156856,45,B,B,B,921
156856,46,Y,R,R,1373
156856,47,B,G,G,1373
156856,48,Y,R,R,1263
156856,49,B,Y,Y,983
156856,50,G,R,G,1326
156856,51,B,G,B,936
156856,52,R,B,B,1513
156856,53,B,R,R,1982
156856,54,R,Y,Y,780
156856,55,G,B,B,1107
156856,56,R,G,G,780
156856,57,B,Y,Y,749
156856,58,G,R,R,1248
156856,59,Y,G,G,889
156856,60,R,Y,Y,905
156856,61,Y,G,G,2355
156856,62,B,Y,Y,827
156856,63,G,B,B,1092
156856,64,Y,R,R,827
156856,65,B,G,G,842
156856,66,R,Y,Y,780
156856,67,B,R,R,1482
156856,68,R,Y,Y,765
156856,69,Y,B,B,1341
156856,70,B,R,R,1607
156856,71,R,G,G,1248
156856,72,G,R,R,998
156856,73,R,Y,Y,827
156856,74,B,R,R,2199
156856,75,R,G,G,1529
156856,76,G,R,G,219
156856,77,B,G,G,2028
156856,78,Y,B,B,1217
156856,79,G,R,R,1342
156856,80,Y,B,B,1357
156856,81,B,G,G,905
156856,82,R,B,B,1076
156856,83,B,Y,Y,952
156856,84,R,B,B,733
156856,85,Y,G,G,873
156856,86,R,B,B,1482
156856,87,B,Y,Y,734
156856,88,Y,R,R,858
156856,89,R,B,B,920
156856,90,Y,R,R,1123
156857,2,B,G,G,4000
156857,3,R,Y,Y,2920
156857,4,B,R,R,2184
156857,5,Y,B,B,2152
156857,6,B,G,G,5312
156857,7,Y,R,R,2432
156857,8,G,B,B,3200
156857,9,Y,R,R,5087
156857,10,G,B,B,1937
156857,11,B,R,R,1487
156857,12,Y,B,B,1263
156857,13,R,G,G,1215
156857,14,Y,B,B,2384
156857,15,R,Y,B,616
156857,16,G,B,B,1984
156857,17,Y,G,G,1368
156857,18,B,R,R,2768
156857,19,R,Y,Y,1391
156857,20,Y,B,B,1439
156857,21,R,G,G,1263
156857,22,B,Y,Y,1799
156857,23,Y,B,B,2880
156857,24,R,G,G,1681
156857,25,Y,R,R,1664
156857,26,R,B,G,1527
156857,27,G,R,R,2912
156857,28,B,Y,Y,2032
156857,29,G,R,R,3623
156857,30,B,Y,Y,1207
156857,31,R,G,G,1920
156857,32,B,R,R,2248
156857,33,R,G,G,1167
156857,34,B,R,R,1408
156857,35,R,G,G,1272
156857,36,G,B,B,2824
156857,37,R,G,G,1696
156857,38,B,R,R,2080
156857,39,G,B,B,1672
156857,40,B,Y,Y,1152
156857,41,G,R,R,1632
156857,42,B,Y,Y,1223
156857,43,Y,B,B,1416
156857,44,G,Y,Y,1104
156857,45,B,R,R,1392
156857,46,R,R,R,1701
156857,47,Y,Y,Y,880
156857,48,R,R,R,808
156857,49,B,B,B,1296
156857,50,R,R,R,840
156857,51,G,G,G,1000
156857,52,R,R,R,696
156857,53,Y,Y,Y,848
156857,54,R,R,R,768
156857,55,Y,Y,Y,776
156857,56,R,R,R,1184
156857,57,B,B,B,1400
156857,58,R,R,R,800
156857,59,B,B,B,1088
156857,60,R,R,R,896
156857,61,Y,Y,Y,888
156857,62,B,B,B,1344
156857,63,G,G,G,1200
156857,64,Y,Y,Y,1160
156857,65,G,G,G,1312
156857,66,B,B,B,1264
156857,67,R,R,R,856
156857,68,B,B,B,1368
156857,69,G,G,G,960
156857,70,Y,Y,Y,832
156857,71,G,G,G,1008
156857,72,B,B,B,1352
156857,73,Y,Y,Y,1032
156857,74,R,R,R,856
156857,75,G,G,G,968
156857,76,B,B,B,1256
156857,77,R,R,R,1000
156857,78,G,G,G,1200
156857,79,R,R,R,776
156857,80,B,B,B,944
156857,81,G,G,G,872
156857,82,B,B,B,936
156857,83,R,R,R,760
156857,84,G,G,G,904
156857,85,Y,Y,Y,808
156857,86,B,B,B,1400
156857,87,G,G,G,768
156857,88,R,R,R,584
156857,89,B,B,B,1128
156857,90,G,G,G,984
156858,2,B,G,G,4000
156858,3,R,Y,Y,2920
156858,4,B,R,R,2184
156858,5,Y,B,B,2152
156858,6,B,G,G,5312
156858,7,Y,R,R,2432
156858,8,G,B,B,3200
156858,9,Y,R,R,5087
156858,10,G,B,B,1937
156858,11,B,R,R,1487
156858,12,Y,B,B,1263
156858,13,R,G,G,1215
156858,14,Y,B,B,2384
156858,15,R,Y,B,616
156858,16,G,B,B,1984
156858,17,Y,G,G,1368
156858,18,B,R,R,2768
156858,19,R,Y,Y,1391
156858,20,Y,B,B,1439
156858,21,R,G,G,1263
156858,22,B,Y,Y,1799
156858,23,Y,B,B,2880
156858,24,R,G,G,1681
156858,25,Y,R,R,1664
156858,26,R,B,G,1527
156858,27,G,R,R,2912
156858,28,B,Y,Y,2032
156858,29,G,R,R,3623
156858,30,B,Y,Y,1207
156858,31,R,G,G,1920
156858,32,B,R,R,2248
156858,33,R,G,G,1167
156858,34,B,R,R,1408
156858,35,R,G,G,1272
156858,36,G,B,B,2824
156858,37,R,G,G,1696
156858,38,B,R,R,2080
156858,39,G,B,B,1672
156858,40,B,Y,Y,1152
156858,41,G,R,R,1632
156858,42,B,Y,Y,1223
156858,43,Y,B,B,1416
156858,44,G,Y,Y,1104
156858,45,B,R,R,1392
156858,46,R,R,R,1701
156858,47,Y,Y,Y,880
156858,48,R,R,R,808
156858,49,B,B,B,1296
156858,50,R,R,R,840
156858,51,G,G,G,1000
156858,52,R,R,R,696
156858,53,Y,Y,Y,848
156858,54,R,R,R,768
156858,55,Y,Y,Y,776
156858,56,R,R,R,1184
156858,57,B,B,B,1400
156858,58,R,R,R,800
156858,59,B,B,B,1088
156858,60,R,R,R,896
156858,61,Y,Y,Y,888
156858,62,B,B,B,1344
156858,63,G,G,G,1200
156858,64,Y,Y,Y,1160
156858,65,G,G,G,1312
156858,66,B,B,B,1264
156858,67,R,R,R,856
156858,68,B,B,B,1368
156858,69,G,G,G,960
156858,70,Y,Y,Y,832
156858,71,G,G,G,1008
156858,72,B,B,B,1352
156858,73,Y,Y,Y,1032
156858,74,R,R,R,856
156858,75,G,G,G,968
156858,76,B,B,B,1256
156858,77,R,R,R,1000
156858,78,G,G,G,1200
156858,79,R,R,R,776
156858,80,B,B,B,944
156858,81,G,G,G,872
156858,82,B,B,B,936
156858,83,R,R,R,760
156858,84,G,G,G,904
156858,85,Y,Y,Y,808
156858,86,B,B,B,1400
156858,87,G,G,G,768
156858,88,R,R,R,584
156858,89,B,B,B,1128
156858,90,G,G,G,984
156859,2,B,G,G,4000
156859,3,R,Y,Y,2920
156859,4,B,R,R,2184
156859,5,Y,B,B,2152
156859,6,B,G,G,5312
156859,7,Y,R,R,2432
156859,8,G,B,B,3200
156859,9,Y,R,R,5087
156859,10,G,B,B,1937
156859,11,B,R,R,1487
156859,12,Y,B,B,1263
156859,13,R,G,G,1215
156859,14,Y,B,B,2384
156859,15,R,Y,B,616
156859,16,G,B,B,1984
156859,17,Y,G,G,1368
156859,18,B,R,R,2768
156859,19,R,Y,Y,1391
156859,20,Y,B,B,1439
156859,21,R,G,G,1263
156859,22,B,Y,Y,1799
156859,23,Y,B,B,2880
156859,24,R,G,G,1681
156859,25,Y,R,R,1664
156859,26,R,B,G,1527
156859,27,G,R,R,2912
156859,28,B,Y,Y,2032
156859,29,G,R,R,3623
156859,30,B,Y,Y,1207
156859,31,R,G,G,1920
156859,32,B,R,R,2248
156859,33,R,G,G,1167
156859,34,B,R,R,1408
156859,35,R,G,G,1272
156859,36,G,B,B,2824
156859,37,R,G,G,1696
156859,38,B,R,R,2080
156859,39,G,B,B,1672
156859,40,B,Y,Y,1152
156859,41,G,R,R,1632
156859,42,B,Y,Y,1223
156859,43,Y,B,B,1416
156859,44,G,Y,Y,1104
156859,45,B,R,R,1392
156859,46,R,R,R,1701
156859,47,Y,Y,Y,880
156859,48,R,R,R,808
156859,49,B,B,B,1296
156859,50,R,R,R,840
156859,51,G,G,G,1000
156859,52,R,R,R,696
156859,53,Y,Y,Y,848
156859,54,R,R,R,768
156859,55,Y,Y,Y,776
156859,56,R,R,R,1184
156859,57,B,B,B,1400
156859,58,R,R,R,800
156859,59,B,B,B,1088
156859,60,R,R,R,896
156859,61,Y,Y,Y,888
156859,62,B,B,B,1344
156859,63,G,G,G,1200
156859,64,Y,Y,Y,1160
156859,65,G,G,G,1312
156859,66,B,B,B,1264
156859,67,R,R,R,856
156859,68,B,B,B,1368
156859,69,G,G,G,960
156859,70,Y,Y,Y,832
156859,71,G,G,G,1008
156859,72,B,B,B,1352
156859,73,Y,Y,Y,1032
156859,74,R,R,R,856
156859,75,G,G,G,968
156859,76,B,B,B,1256
156859,77,R,R,R,1000
156859,78,G,G,G,1200
156859,79,R,R,R,776
156859,80,B,B,B,944
156859,81,G,G,G,872
156859,82,B,B,B,936
156859,83,R,R,R,760
156859,84,G,G,G,904
156859,85,Y,Y,Y,808
156859,86,B,B,B,1400
156859,87,G,G,G,768
156859,88,R,R,R,584
156859,89,B,B,B,1128
156859,90,G,G,G,984
156860,1,G,Y,G,2949
156860,2,B,G,G,5024
156860,3,Y,B,B,2576
156860,4,R,G,G,1664
156860,5,Y,B,B,3216
156860,6,G,Y,Y,3624
156860,7,Y,R,R,2680
156860,8,R,Y,Y,4424
156860,9,Y,B,B,4696
156860,10,R,Y,Y,3335
156860,11,G,R,R,3176
156860,12,B,Y,Y,2280
156860,13,Y,G,G,2216
156860,14,G,R,R,2480
156860,15,B,G,G,1592
156860,16,R,Y,Y,1800
156860,17,B,G,G,2184
156860,18,Y,B,B,3872
156860,21,G,B,B,2608
156860,22,Y,R,R,2024
156860,23,R,Y,Y,2064
156860,24,G,B,B,2040
156860,25,R,Y,Y,2184
156860,26,G,R,R,2504
156860,27,Y,B,B,1264
156860,28,G,Y,Y,1632
156860,29,Y,G,G,1904
156860,30,G,B,B,1344
156860,31,R,G,G,2616
156860,32,B,R,R,2096
156860,33,G,Y,Y,2384
156860,34,R,G,G,1608
156860,35,B,R,R,1720
156860,36,R,Y,Y,2464
156860,37,G,B,B,1712
156860,38,Y,R,R,1872
156860,39,B,Y,Y,2064
156860,40,R,B,B,1927
156860,41,G,R,R,2304
156860,42,Y,G,G,1616
156860,43,B,R,R,1936
156860,44,R,B,B,1848
156860,45,B,G,G,1888
156860,46,R,R,R,1908
156860,47,G,G,G,1320
156860,48,Y,Y,Y,1335
156860,49,G,G,G,1231
156860,50,Y,Y,Y,1271
156860,51,G,G,G,1127
156860,52,R,R,R,1807
156860,53,Y,Y,Y,1623
156860,54,G,G,G,1367
156860,55,R,R,G,1896
156860,56,G,G,G,1624
156860,57,Y,Y,Y,2976
156860,58,R,R,R,2256
156860,59,B,B,B,1831
156860,60,Y,Y,Y,2184
156860,61,R,R,R,1288
156860,62,Y,Y,Y,1503
156860,63,R,R,R,1295
156860,64,G,G,G,1312
156860,65,R,R,R,1120
156860,66,Y,Y,Y,1367
156860,67,G,G,G,2207
156860,68,R,R,R,1088
156860,69,B,B,B,1568
156860,70,G,G,G,1063
156860,71,R,R,R,1440
156860,72,G,G,G,1287
156860,73,B,B,B,1959
156860,74,R,R,R,1776
156860,75,G,G,G,1751
156860,76,R,R,R,2319
156860,77,Y,Y,Y,1800
156860,78,G,G,G,1983
156860,79,Y,Y,Y,2112
156860,80,G,G,G,2072
156860,81,Y,Y,Y,2231
156860,82,G,G,G,1791
156860,83,Y,Y,Y,1287
156860,84,R,R,R,1800
156860,85,B,B,B,1255
156860,86,G,G,G,1591
156860,87,R,R,R,3303
156860,88,Y,Y,Y,2512
156860,89,G,G,G,1848
156860,90,B,B,B,2048
156861,1,G,Y,G,2949
156861,2,B,G,G,5024
156861,3,Y,B,B,2576
156861,4,R,G,G,1664
156861,5,Y,B,B,3216
156861,6,G,Y,Y,3624
156861,7,Y,R,R,2680
156861,8,R,Y,Y,4424
156861,9,Y,B,B,4696
156861,10,R,Y,Y,3335
156861,11,G,R,R,3176
156861,12,B,Y,Y,2280
156861,13,Y,G,G,2216
156861,14,G,R,R,2480
156861,15,B,G,G,1592
156861,16,R,Y,Y,1800
156861,17,B,G,G,2184
156861,18,Y,B,B,3872
156861,21,G,B,B,2608
156861,22,Y,R,R,2024
156861,23,R,Y,Y,2064
156861,24,G,B,B,2040
156861,25,R,Y,Y,2184
156861,26,G,R,R,2504
156861,27,Y,B,B,1264
156861,28,G,Y,Y,1632
156861,29,Y,G,G,1904
156861,30,G,B,B,1344
